brand,model,page_url,image_url,reason
Gentle Monster,Ojo 01,https://www.gentlemonster.com/cn/zh-CN/item/SDFZSB9VJ282/ojo01,https://gm-prd-resource.gentlemonster.com/catalog/product/SDFZSB9VJ282/202537fa-e60e-4e89-8ce7-a282c325e692/11003134_FRONT.jpg,HTTP Error 500: Internal Server Error
MOSCOT,The Lab,https://moscot.com/products/the-lab,,no MOSCOT front-ish product image
MOSCOT,Lemtosh Alternative Fit,https://moscot.com/products/lemtosh-alternative-fit,,no MOSCOT front-ish product image
MOSCOT,Miltzen Alternative Fit,https://moscot.com/products/miltzen-alternative-fit,,no MOSCOT front-ish product image
MOSCOT,Fritz,https://moscot.com/products/fritz,,no MOSCOT front-ish product image
MOSCOT,Gelt,https://moscot.com/products/gelt,,no MOSCOT front-ish product image
MOSCOT,Zolman,https://moscot.com/products/zolman,,no MOSCOT front-ish product image
MOSCOT,Vilda,https://moscot.com/products/vilda,,no MOSCOT front-ish product image
MOSCOT,Smendrik,https://moscot.com/products/smendrik,,no MOSCOT front-ish product image
MOSCOT,Telena,https://moscot.com/products/telena,,no MOSCOT front-ish product image
MOSCOT,Foygel,https://moscot.com/products/foygel,,no MOSCOT front-ish product image
MOSCOT,Lemtosh Tt Se,https://moscot.com/products/lemtosh-tt-se,,no MOSCOT front-ish product image
MOSCOT,Momza,https://moscot.com/products/momza,,no MOSCOT front-ish product image
MOSCOT,Billik,https://moscot.com/products/billik,,no MOSCOT front-ish product image
MOSCOT,Yontif,https://moscot.com/products/yontif,,no MOSCOT front-ish product image
MOSCOT,Donation Product,https://moscot.com/products/donation-product,,no MOSCOT front-ish product image
MOSCOT,Aidim,https://moscot.com/products/aidim,,no MOSCOT front-ish product image
MOSCOT,Alex,https://moscot.com/products/alex,,HTTP Error 404: Not Found
MOSCOT,Arbita,https://moscot.com/products/arbita,,no MOSCOT front-ish product image
MOSCOT,Brude,https://moscot.com/products/brude,,no MOSCOT front-ish product image
MOSCOT,Dudel,https://moscot.com/products/dudel,,no MOSCOT front-ish product image
Ray-Ban,Oakley Meta Hstn,https://www.opsm.com.au/oakley-meta/oakley-meta-hstn/888392682871,,duplicate image url
Ray-Ban,Ray Ban Meta (Gen 2) Wayfarer,https://www.opsm.com.au/glasses/ray-ban/ray-ban-meta-(gen-2)-wayfarer/8056262909898,,duplicate image url
Persol,PO3007V,https://www.opsm.com.au/glasses/persol/po3007v/8053672663501,,duplicate image url
Persol,PO3007VM,https://www.opsm.com.au/glasses/persol/po3007vm/8056262233801,,duplicate image url
Persol,PO3092V,https://www.opsm.com.au/glasses/persol/po3092v/8056262233863,,duplicate image url
Persol,Po3329V Greta,https://www.opsm.com.au/glasses/persol/po3329v-greta/8056597923613,,duplicate image url
Persol,Po3359V Jacques,https://www.opsm.com.au/glasses/persol/po3359v-jacques/8056262231661,,duplicate image url
Persol,PO3390V,https://www.opsm.com.au/glasses/persol/po3390v/8056262553626,,duplicate image url
Persol,Po3389V Cecil,https://www.opsm.com.au/glasses/persol/po3389v-cecil/8056262553527,,duplicate image url
Persol,Po1030V Luc,https://www.opsm.com.au/glasses/persol/po1030v-luc/8056262738726,,duplicate image url
Oliver Peoples,Ov5578 Sobel,https://www.opsm.com.au/glasses/oliver-peoples/ov5578-sobel/827934507524,,duplicate image url
Oliver Peoples,Ov1186 Coleridge,https://www.opsm.com.au/glasses/oliver-peoples/ov1186-coleridge/827934439931,,duplicate image url
Oliver Peoples,Ov5389D Davitt,https://www.opsm.com.au/glasses/oliver-peoples/ov5389d-davitt/827934423299,,duplicate image url
Oliver Peoples,Ov1292T G Ponti 2,https://www.opsm.com.au/glasses/oliver-peoples/ov1292t-g-ponti-2/827934467477,,duplicate image url
Oliver Peoples,Ov5004 Riley R,https://www.opsm.com.au/glasses/oliver-peoples/ov5004-riley-r/827934302938,,duplicate image url
Oliver Peoples,Ov5413U Cary Grant,https://www.opsm.com.au/glasses/oliver-peoples/ov5413u-cary-grant/827934502833,,duplicate image url
Oliver Peoples,Ov5102 Denison,https://www.opsm.com.au/glasses/oliver-peoples/ov5102-denison/827934298361,,duplicate image url
Oliver Peoples,Ov5422D Hilden,https://www.opsm.com.au/glasses/oliver-peoples/ov5422d-hilden/827934432499,,duplicate image url
Oliver Peoples,Ov5183 O Malley,https://www.opsm.com.au/glasses/oliver-peoples/ov5183-o-malley/827934405493,,duplicate image url
Oliver Peoples,Ov5437U Ollis,https://www.opsm.com.au/glasses/oliver-peoples/ov5437u-ollis/827934449947,,duplicate image url
Prada,PR 10ZV,https://www.opsm.com.au/glasses/prada/pr-10zv/8056597747714,,duplicate image url
Prada,PR 18ZV,https://www.opsm.com.au/glasses/prada/pr-18zv/8056597878142,,duplicate image url
Prada,PR 21ZV,https://www.opsm.com.au/glasses/prada/pr-21zv/8056262082010,,duplicate image url
Prada,PR A09V,https://www.opsm.com.au/glasses/prada/pr-a09v/8056597968874,,duplicate image url
Prada,PR A13V,https://www.opsm.com.au/glasses/prada/pr-a13v/8056262099285,,duplicate image url
Prada,PR A15V,https://www.opsm.com.au/glasses/prada/pr-a15v/8056262132036,,duplicate image url
Prada,PR 19WV,https://www.opsm.com.au/glasses/prada/pr-19wv/8056597878623,,duplicate image url
Gucci,GG0025O,https://www.opsm.com.au/glasses/gucci/gg0025o/889652048338,,duplicate image url
Gucci,GG0027O,https://www.opsm.com.au/glasses/gucci/gg0027o/889652048406,,duplicate image url
Gucci,GG0011O,https://www.opsm.com.au/glasses/gucci/gg0011o/889652047676,,duplicate image url
Gucci,GG0396O,https://www.opsm.com.au/glasses/gucci/gg0396o/889652173849,,duplicate image url
Gucci,GG0883OA,https://www.opsm.com.au/glasses/gucci/gg0883oa/889652324135,,duplicate image url
Gucci,GG0930OJ,https://www.opsm.com.au/glasses/gucci/gg0930oj/889652326191,,duplicate image url
Gucci,GG0383O,https://www.opsm.com.au/glasses/gucci/gg0383o/889652176802,,duplicate image url
Gucci,GG1044O,https://www.opsm.com.au/glasses/gucci/gg1044o/889652353104,,duplicate image url
Gucci,GC001812,https://www.opsm.com.au/glasses/gucci/gc001812/889652378961,,duplicate image url
Gucci,GG1530O,https://www.opsm.com.au/glasses/gucci/gg1530o/889652467153,,duplicate image url
Gucci,GG1554O,https://www.opsm.com.au/glasses/gucci/gg1554o/889652469577,,duplicate image url
Gucci,GG1193O,https://www.opsm.com.au/glasses/gucci/gg1193o/889652393766,,duplicate image url
Gucci,GG1994O,https://www.opsm.com.au/glasses/gucci/gg1994o/889652568461,,duplicate image url
Gucci,GG2005OA,https://www.opsm.com.au/glasses/gucci/gg2005oa/889652571027,,duplicate image url
